country,Integrated national energy policy.,Electricity consumption,Fuel sources and prices,Climate investment policy,Climate change policy,Climate change policy,c1,c2,u1,u2
Austria,0.2240000069141388,0.1398999989032745,0.135000005364418,0.1518000066280365,0.1427000015974044,0.2066999971866607,14.888996,-5.7063375,9.127453,4.122499
Belgium,0.1803999990224838,0.191100001335144,0.1146999970078468,0.2302999943494796,0.1335999965667724,0.1500000059604644,5.6393113,-9.438779,8.462279,2.0636714
Bulgaria,0.0837000012397766,0.0877000018954277,0.1199000030755996,0.5097000002861023,0.0944000035524368,0.1045999974012374,3.7907062,-18.683773,7.546483,1.8142393
Czechia,0.5406000018119812,0.0781000033020973,0.0967999994754791,0.1208000034093856,0.0785000026226043,0.0851999968290329,5.574515,4.6320696,10.015644,2.8892117
Cyprus,0.0416000001132488,0.0472999997437,0.0648000016808509,0.0439000017940998,0.7598000168800354,0.0425999984145164,22.308147,-4.591924,9.194239,5.0909014
Germany,0.1759999990463256,0.1328999996185302,0.191100001335144,0.1787000000476837,0.1254000067710876,0.1958000063896179,13.898794,-12.050564,7.7812524,3.717174
Denmark,0.1862999945878982,0.1498000025749206,0.1433999985456466,0.1655000001192093,0.1581999957561493,0.1967999935150146,12.961803,-8.535667,8.554601,3.6476066
Estonia,0.1339000016450882,0.1254000067710876,0.1216000020503997,0.3149000108242035,0.1358000040054321,0.168500006198883,5.3754234,-13.964017,7.6154017,2.1880686
Croatia,0.2019000053405761,0.1597999930381775,0.1453000009059906,0.1398999989032745,0.1632000058889389,0.1897999942302703,11.988905,-5.5831466,9.228778,3.5391564
Finland,0.1394000053405761,0.1448000073432922,0.1695999950170517,0.1457999944686889,0.1498000025749206,0.2506000101566314,17.413006,-10.249623,8.22038,4.6172748
France,0.1491000056266784,0.1564999967813491,0.1176000013947486,0.218299999833107,0.1439999938011169,0.2143999934196472,9.071668,-10.024791,8.270406,2.6406019
Malta,0.0471000000834465,0.6635000109672546,0.0821999981999397,0.0509999990463256,0.1093999966979026,0.046799998730421,-7.6813173,-4.774828,2.8681679,2.4193017
Luxembourg,0.1237000003457069,0.2535000145435333,0.1388999968767166,0.0859000012278556,0.162100002169609,0.2358999997377395,-2.4007454,-9.804245,3.244923,1.9647459
Lithuania,0.1275999993085861,0.190200001001358,0.2152999937534332,0.1842000037431717,0.1221000030636787,0.1605000048875808,13.037984,-15.591648,7.537773,3.3958519
Latvia,0.1349000036716461,0.2949000000953674,0.1642999947071075,0.1088000014424324,0.1579000055789947,0.1392000019550323,-3.3959754,-6.02785,2.7587426,2.0554438
Italy,0.5188000202178955,0.0966999977827072,0.1309999972581863,0.0772999972105026,0.0971999987959861,0.0790000036358833,7.9429016,5.368987,10.144416,3.1244154
Ireland,0.0570000000298023,0.1037999987602233,0.0829999968409538,0.0701000019907951,0.0976999998092651,0.5884000062942505,22.928936,-12.533694,8.222103,5.0724316
Hungary,0.1220000013709068,0.299699991941452,0.1685999929904937,0.0944000035524368,0.1288000047206878,0.186599999666214,-5.1022396,-8.334636,3.1656091,2.2494612
Greece,0.2204000055789947,0.1262000054121017,0.128600001335144,0.2533000111579895,0.1428000032901764,0.1287000030279159,5.58798,-6.1597633,9.16358,2.3479393
Spain,0.2378000020980835,0.1665000021457672,0.1536999940872192,0.1315000057220459,0.1789000034332275,0.1315000057220459,13.627162,-1.5804163,9.849221,4.0631857
Netherlands,0.1652999967336654,0.1324000060558319,0.1299999952316284,0.1274999976158142,0.1999000012874603,0.2449000030755996,19.08177,-7.2046895,8.77277,4.941512
Poland,0.0322999991476535,0.0357000008225441,0.8287000060081482,0.0333000011742115,0.0416000001132488,0.0283000003546476,20.301973,1.755099,9.546144,4.79305
Portugal,0.0615999996662139,0.0627000033855438,0.0615999996662139,0.6886000037193298,0.0659999996423721,0.0595000013709068,4.3320894,-21.287746,7.7935343,1.6490062
Romania,0.3088000118732452,0.1103999987244606,0.1075000017881393,0.2290000021457672,0.0943000018596649,0.1500000059604644,5.9477124,-2.1929288,9.642966,2.6682239
Sweden,0.147499993443489,0.1351000070571899,0.1389999985694885,0.2168000042438507,0.1587000042200088,0.2028000056743621,9.81399,-12.581396,7.762186,2.7643552
Slovenia,0.2617000043392181,0.1488000005483627,0.1738000065088272,0.1394000053405761,0.1330000013113021,0.1431999951601028,10.605559,-1.4075972,9.78466,3.4403517
Slovakia,0.1722999960184097,0.1147999987006187,0.2101999968290329,0.1303000003099441,0.1263999938964843,0.2460999935865402,17.912252,-13.3177185,7.741878,4.6138487
