,country,greenhouse_lad,greenhouse_2020,greenhouse_2030,greenhouse_assesment,renewable_energy_lad,renewable_energy_2020,renewable_energy_2030,renewable_energy_assesment,primary_energy_consumption_lad,primary_energy_consumption_2020,primary_energy_consumption_2030,primary_energy_consumption_assesment,final_energy_consumption_lad,final_energy_consumption_2020,final_energy_consumption_2030,final_energy_consumption_assesment,electricity_lad,electricity_2020,electricity_2030
0,austria,-11,-16,-36,0,33.4,34.0,48.0,2,30.0,31.5,29.75,1.0,25.6,25.1,24.8,1,15.3,10.0,15.0
1,belgium,-11,-15,-35,0,9.4,13.0,17.5,0,46.8,47.8,42.7,1.0,36.6,36.0,35.2,1,24.0,24.0,33.0
2,bulgaria,21,20,0,0,20.5,21.4,27.09,2,18.34,16.9,17.5,1.0,9.9,8.67,10.3,0,7.1,11.3,15.0
3,croatia,-1,11,-7,0,28.0,20.0,36.4,3,8.2,10.7,8.23,1.0,6.9,7.0,6.85,1,30.0,,15.0
4,cyprus,0,-5,-24,0,13.9,13.0,22.9,1,2.55,2.5,2.4,1.0,1.86,1.9,2.0,0,,,200.0
5,czechia,4,9,-14,0,15.0,13.0,22.0,0,40.4,43.3,41.43,1.0,25.3,23.9,23.65,2,26.6,29.6,44.1
6,denmark,-19,-20,-39,0,35.7,30.0,55.0,3,17.8,17.5,18.3,0.0,14.8,15.2,15.8,0,51.0,,
7,estonia,17,11,-13,0,30.0,25.0,42.0,3,6.2,6.5,5.4,2.0,3.0,2.8,2.9,0,63.0,60.0,60.0
8,finland,-11,-16,-39,0,41.2,38.0,51.0,2,32.7,35.9,34.8,1.0,25.8,26.7,24.9,1,29.0,18.0,15.0
9,france,-14,-14,-37,0,16.6,23.0,33.0,2,239.5,219.0,202.2,2.0,148.9,131.4,120.9,3,,,16.5
10,germany,-8,-14,-38,0,16.8,18.0,30.0,2,291.7,276.6,216.0,3.0,215.4,194.3,185.0,2,11.4,11.4,
11,greece,-28,-4,-16,0,18.0,18.0,35.0,3,22.64,22.68,20.55,2.0,16.0,16.93,16.51,1,10.0,13.0,21.0
12,hungary,-10,10,-7,0,12.5,13.0,21.0,0,24.5,24.1,,0.0,18.5,14.4,18.7,0,50.0,55.0,60.0
13,ireland,-4,-20,-30,0,11.0,12.8,34.1,3,14.5,13.9,13.7,1.0,12.3,11.7,11.2,1,7.4,,
14,italy,-18,-13,-33,0,17.8,17.0,30.0,3,147.2,158.0,125.1,3.0,116.124,124.0,103.8,3,8.8,8.0,10.0
15,latvia,8,17,-6,0,40.0,40.0,50.0,2,4.7,5.4,4.1,2.0,4.2,4.5,3.6,2,50.0,10.0,60.0
16,lithuania,7,15,-9,0,24.0,23.0,45.0,3,6.3,6.5,5.5,2.0,5.5,4.3,4.5,2,62.0,62.0,111.0
17,luxembourg,-10,-20,-40,2,9.1,11.0,25.0,3,4.46,4.48,,,4.35,4.24,3.06,3,,270.0,400.0
18,malta,32,5,-19,0,8.0,10.0,11.5,0,0.8,0.8,1.1,0.0,0.7,0.6,0.8,0,24.0,24.0,24.0
19,netherlands,-20,-16,-36,0,26.0,14.0,27.0,3,64.73,,46.6,3.0,50.27,,43.9,2,15.0,15.0,37.0
20,poland,21,14,-7,0,11.3,15.0,22.0,0,100.9,96.4,91.3,2.0,71.8,71.6,67.1,2,4.0,4.0,8.7
21,portugal,-16,1,-17,0,30.3,31.0,47.0,3,22.66,22.5,21.5,2.0,16.9,17.4,14.9,2,8.0,10.0,15.0
22,romania,14,19,-2,0,23.9,24.0,30.7,0,32.6,43.0,32.3,1.0,23.6,30.3,25.7,0,9.3,10.0,15.4
23,slovakia,-5,13,-12,1,11.9,14.0,19.2,0,15.8,16.4,15.7,1.0,11.1,9.0,10.3,1,43.0,59.0,52.0
24,slovenia,-7,4,-15,2,21.1,25.0,27.0,0,6.81,7.1,6.4,2.0,4.975,5.1,4.7,1,83.6,,
25,spain,-14,-10,-26,0,17.4,20.0,42.0,3,124.59,122.6,98.5,3.0,86.88,87.23,73.6,3,6.5,6.5,15.0
26,sweden,-25,-17,-40,2,54.6,49.0,65.0,3,47.0,43.4,40.2,2.0,32.0,30.3,29.7,2,26.0,28.0,27.0
