country,Social Assistance Program,Aid for Needy People,Job Integration Program
Austria,0.3321000039577484,0.3379000127315521,0.33000001311302185
Belgium,0.33180001378059387,0.335999995470047,0.33219999074935913
Bulgaria,0.33629998564720154,0.3296999931335449,0.33390000462532043
Croatia,0.33180001378059387,0.3312999904155731,0.3368000090122223
Denmark,0.329800009727478,0.33329999446868896,0.336899995803833
Estonia,0.3294999897480011,0.3292999863624573,0.34119999408721924
Finland,0.33230000734329224,0.33649998903274536,0.3312000036239624
France,0.33410000801086426,0.32989999651908875,0.335999995470047
Germany,0.3328999876976013,0.3310000002384186,0.3361999988555908
Greece,0.33469998836517334,0.33059999346733093,0.33469998836517334
Hungary,0.33399999141693115,0.33340001106262207,0.3325999975204468
Ireland,0.33709999918937683,0.3325999975204468,0.3301999866962433
Latvia,0.33500000834465027,0.3375000059604645,0.32749998569488525
Malta,0.32739999890327454,0.3458000123500824,0.32679998874664307
Portugal,0.3327000141143799,0.3319999873638153,0.3352999985218048
Slovakia,0.3310999870300293,0.33169999718666077,0.33719998598098755
Slovenia,0.3449999988079071,0.3269999921321869,0.328000009059906
Spain,0.3337000012397766,0.33309999108314514,0.33320000767707825
Sweden,0.3285999894142151,0.33059999346733093,0.3407999873161316
Netherlands,0.33640000224113464,0.33730000257492065,0.3262999951839447
