country,Municipal Care.,Municipal PES.,Group ALMP Effect,ALMP Impact Report.,Municipal Care: Social Assistance
Austria,0.19949999451637268,0.20080000162124634,0.20270000398159027,0.1965000033378601,0.2004999965429306
Belgium,0.20090000331401825,0.20110000669956207,0.20000000298023224,0.20069999992847443,0.1973000019788742
Bulgaria,0.20319999754428864,0.19979999959468842,0.19750000536441803,0.1987999975681305,0.20069999992847443
Croatia,0.19930000603199005,0.19869999587535858,0.20190000534057617,0.1995999962091446,0.2004999965429306
Cyprus,0.19189999997615814,0.20340000092983246,0.1964000016450882,0.21469999849796295,0.19370000064373016
Denmark,0.19840000569820404,0.19930000603199005,0.20250000059604645,0.1996999979019165,0.20010000467300415
Estonia,0.2003999948501587,0.19779999554157257,0.19979999959468842,0.19920000433921814,0.20280000567436218
Finland,0.19740000367164612,0.20090000331401825,0.20110000669956207,0.19910000264644623,0.20149999856948853
France,0.19830000400543213,0.20020000636577606,0.2013999968767166,0.2012999951839447,0.19869999587535858
Germany,0.20190000534057617,0.19939999282360077,0.19859999418258667,0.19900000095367432,0.20110000669956207
Hungary,0.19709999859333038,0.20640000700950623,0.2084999978542328,0.19359999895095825,0.19429999589920044
Ireland,0.19869999587535858,0.2029000073671341,0.19740000367164612,0.1981000006198883,0.2029000073671341
Italy,0.2110999971628189,0.1972000002861023,0.1987999975681305,0.1964000016450882,0.19660000503063202
Latvia,0.20340000092983246,0.20020000636577606,0.19840000569820404,0.19850000739097595,0.19949999451637268
Lithuania,0.19429999589920044,0.2087000012397766,0.19709999859333038,0.195700004696846,0.20419999957084656
Malta,0.19820000231266022,0.19380000233650208,0.19660000503063202,0.2079000025987625,0.20350000262260437
Portugal,0.2021999955177307,0.20090000331401825,0.1987999975681305,0.19760000705718994,0.2004999965429306
Slovakia,0.19900000095367432,0.1987999975681305,0.2004999965429306,0.1981000006198883,0.2037000060081482
Slovenia,0.20419999957084656,0.20110000669956207,0.20100000500679016,0.1979999989271164,0.1956000030040741
Spain,0.19920000433921814,0.2003999948501587,0.20000000298023224,0.20069999992847443,0.19979999959468842
Sweden,0.20010000467300415,0.19840000569820404,0.1996999979019165,0.20020000636577606,0.20160000026226044
Netherlands,0.20149999856948853,0.19089999794960022,0.19949999451637268,0.2079000025987625,0.20020000636577606
