country,0,1,2,3,4,5,c1,c2
austria,0.13910000026226044,0.14180000126361847,0.14810000360012054,0.14380000531673431,0.14010000228881836,0.1453000009059906,-2.6852677,19.910738
belgium,0.120899997651577,0.17139999568462372,0.14350000023841858,0.13009999692440033,0.13809999823570251,0.13490000367164612,6.7816257,42.933353
bulgaria,0.13860000669956207,0.148499995470047,0.1446000039577484,0.14550000429153442,0.15039999783039093,0.1363999992609024,1.1973629,-7.1933355
croatia,0.13779999315738678,0.14229999482631683,0.14380000531673431,0.1444000005722046,0.1453000009059906,0.14409999549388885,-0.78517604,5.2819943
cyprus,0.10010000318288803,0.12929999828338623,0.08789999783039093,0.15029999613761902,0.13420000672340393,0.2896000146865845,46.869057,-20.693005
denmark,0.13420000672340393,0.1656000018119812,0.18610000610351562,0.13850000500679016,0.12720000743865967,0.10379999876022339,23.646128,46.420563
estonia,0.13279999792575836,0.14470000565052032,0.14970000088214874,0.13830000162124634,0.1477999985218048,0.14090000092983246,19.287292,15.455801
finland,0.13300000131130219,0.1446000039577484,0.14650000631809235,0.1436000019311905,0.15299999713897705,0.13699999451637268,13.121551,-10.895146
france,0.13089999556541443,0.14079999923706055,0.15199999511241913,0.13199999928474426,0.13840000331401825,0.1446000039577484,30.172771,23.339338
germany,0.13779999315738678,0.15160000324249268,0.15139999985694885,0.13349999487400055,0.14180000126361847,0.13750000298023224,15.246313,29.636215
hungary,0.14429999887943268,0.15389999747276306,0.13019999861717224,0.1670999974012375,0.13189999759197235,0.15940000116825104,-22.203045,29.087887
ireland,0.12269999831914902,0.1459999978542328,0.1460999995470047,0.14390000700950623,0.1454000025987625,0.1509000062942505,28.866093,2.838489
italy,0.17100000381469727,0.12309999763965607,0.14030000567436218,0.12039999663829803,0.1648000031709671,0.13750000298023224,-23.41678,-18.892403
latvia,0.14970000088214874,0.14630000293254852,0.14329999685287476,0.1404999941587448,0.14329999685287476,0.14010000228881836,-15.355732,-1.2101748
lithuania,0.3995000123977661,0.09380000084638596,0.10849999636411667,0.1177000030875206,0.09529999643564224,0.09640000015497208,-37.137417,-14.763042
malta,0.12129999697208405,0.1534000039100647,0.13580000400543213,0.14839999377727509,0.12479999661445618,0.17509999871253967,40.406498,-8.908557
portugal,0.1331000030040741,0.14640000462532043,0.14380000531673431,0.149399995803833,0.14499999582767487,0.14329999685287476,13.191475,2.0970068
slovakia,0.14489999413490295,0.14000000059604645,0.1459999978542328,0.1437000036239624,0.13989999890327454,0.14100000262260437,-12.73607,11.687882
slovenia,0.1412999927997589,0.13019999861717224,0.13910000026226044,0.14949999749660492,0.17190000414848328,0.13910000026226044,-2.7745428,-24.414625
spain,0.13760000467300415,0.1468999981880188,0.14139999449253082,0.14319999516010284,0.14499999582767487,0.14350000023841858,7.047139,12.599716
sweden,0.15399999916553497,0.1412000060081482,0.13760000467300415,0.14880000054836273,0.1362999975681305,0.13570000231266022,-27.310549,7.3080816
the_netherlands,0.10509999841451645,0.10809999704360962,0.1371999979019165,0.10119999945163727,0.13420000672340393,0.12999999523162842,44.955647,24.367916
