country,NO&T Energy renovation,NO&T Primary and final energy,NO&T Financial aspects,NO&T Energy efficiency scenarios,NO&T Saving energy,P&M Energy renovation,P&M Primary and final energy,P&M Financial aspects,P&M Energy efficiency scenarios,P&M Saving energy,CS&RP Energy renovation,CS&RP Primary and final energy,CS&RP Financial aspects,CS&RP Energy efficiency scenarios,CS&RP Saving energy,c1,c2,u1,u2
Austria,0.1282999962568283,0.3704999983310699,0.1423999965190887,0.19480000436306,0.1641000062227249,0.2967999875545501,0.1147999987006187,0.1796000003814697,0.1071999967098236,0.3016000092029571,0.1182999983429908,0.2614000141620636,0.1155000030994415,0.3693999946117401,0.1353999972343444,-11.865332,-8.055456,13.045985,12.427012
Belgium,0.2723999917507171,0.4248999953269958,0.0967999994754791,0.1172999963164329,0.0886000022292137,0.9314000010490416,0.0187999997287988,0.017400000244379,0.0188999995589256,0.0135000003501772,0.1067000031471252,0.6452000141143799,0.0719999969005584,0.1237000003457069,0.0524999983608722,-8.793417,-9.765317,12.786278,8.630073
Bulgaria,0.1262000054121017,0.3592999875545501,0.1775999963283538,0.1519999951124191,0.1849000006914138,0.0989999994635582,0.0524999983608722,0.6923999786376953,0.0608999989926815,0.0952999964356422,0.1039000004529953,0.2406000047922134,0.1198000013828277,0.4323999881744385,0.1032000035047531,-13.425797,-14.627353,12.634676,15.316648
Czechia,0.1254000067710876,0.4519000053405761,0.1287000030279159,0.1331000030040741,0.1608999967575073,0.1674000024795532,0.0579000003635883,0.5546000003814697,0.0842000022530555,0.1360000073909759,0.0693999975919723,0.0753000006079673,0.0797000005841255,0.7088000178337097,0.0667999982833862,-15.010513,-13.386739,13.780729,17.208908
Cyprus,0.1221000030636787,0.4190999865531921,0.1281999945640564,0.1120000034570694,0.2186000049114227,0.181099995970726,0.0485000014305114,0.2415000051259994,0.0443000011146068,0.484499990940094,0.1106999963521957,0.5016000270843506,0.1079000011086463,0.1747999936342239,0.1050999984145164,-9.4954815,-5.533099,13.08537,9.214728
Germany,0.1636999994516372,0.365200012922287,0.135900005698204,0.1372999995946884,0.1978999972343444,0.5331000089645386,0.0527999997138977,0.1917999982833862,0.0756999999284744,0.1465000063180923,0.1409000009298324,0.2477999925613403,0.137700006365776,0.3294000029563904,0.1441999971866607,-10.579748,-9.54978,12.172686,9.732064
Denmark,0.1368999928236007,0.3811999857425689,0.1358000040054321,0.1427000015974044,0.2034000009298324,0.3203999996185303,0.0683000013232231,0.230100005865097,0.0759999975562095,0.3052000105381012,0.1150999963283538,0.3538999855518341,0.1190000027418136,0.2922999858856201,0.1196999996900558,-10.569689,-7.68888,12.365956,9.94307
Estonia,0.1049000024795532,0.488099992275238,0.1167000010609626,0.1379999965429306,0.1523000001907348,0.1838999986648559,0.0838999971747398,0.2737999856472015,0.092799998819828,0.3655999898910522,0.128600001335144,0.3093000054359436,0.1366000026464462,0.2782999873161316,0.1473000049591064,-10.67448,-6.1228786,12.724466,10.326478
Croatia,0.1435000002384185,0.3336000144481659,0.1777999997138977,0.1632999926805496,0.1817999929189682,0.0663999989628791,0.0232999995350837,0.8544999957084656,0.0271000005304813,0.0286999996751546,0.1291999965906143,0.2734000086784363,0.1430000066757202,0.3176999986171722,0.1366000026464462,-12.676142,-14.982999,12.884408,14.394207
Finland,0.1254000067710876,0.4074999988079071,0.1342999935150146,0.1600999981164932,0.1727000027894973,0.2308000028133392,0.0971999987959861,0.2338999956846237,0.0961999967694282,0.3418999910354614,0.1477999985218048,0.2937000095844269,0.169400006532669,0.2247000038623809,0.1643999963998794,-10.823119,-6.7791977,12.708878,10.816002
France,0.1372999995946884,0.3935000002384186,0.1163000017404556,0.193900004029274,0.1589999943971634,0.4472000002861023,0.0794999971985817,0.1254000067710876,0.137700006365776,0.2102999985218048,0.0671999976038932,0.0922000035643577,0.0560000017285347,0.7289000153541565,0.0557000003755092,-15.227308,-9.298231,14.021579,17.805677
Malta,0.1310999989509582,0.3833999931812286,0.1215000003576278,0.1970999985933303,0.1668999940156936,0.2425999939441681,0.0842999964952468,0.1568000018596649,0.1067999973893165,0.4095000028610229,0.1371999979019165,0.2825999855995178,0.1387999951839447,0.2908999919891357,0.1504999995231628,-11.747083,-6.2929673,12.950239,11.924441
Luxembourg,0.1479000002145767,0.3461000025272369,0.1430999934673309,0.2236000001430511,0.1393000036478042,0.3930000066757202,0.1071000024676323,0.2071000039577484,0.067900002002716,0.2249999940395355,0.0847000032663345,0.2257999926805496,0.0855000019073486,0.5187000036239624,0.0852999985218048,-13.101126,-9.468017,13.234728,14.996976
Lithuania,0.1761000007390976,0.2037999927997589,0.2240000069141388,0.2055999934673309,0.1905000060796737,0.1282999962568283,0.070200003683567,0.5564000010490417,0.0851000025868415,0.1600999981164932,0.1376000046730041,0.1969999969005584,0.2318000048398971,0.2933999896049499,0.1402000039815902,-13.704588,-15.496208,13.284849,15.724404
Latvia,0.1600999981164932,0.2662000060081482,0.1767999976873397,0.1986999958753585,0.1983000040054321,0.2375999987125396,0.0856999978423118,0.3741999864578247,0.095499999821186,0.2070000022649765,0.093699999153614,0.1811999976634979,0.1080000028014183,0.5253999829292297,0.0917000025510788,-13.658942,-12.0017605,12.528576,15.984859
Italy,0.1203000023961067,0.5045999884605408,0.0829000025987625,0.0930000022053718,0.1991000026464462,0.1588000059127807,0.0282000005245208,0.0714000016450882,0.0306000001728534,0.7109000086784363,0.0740000009536743,0.4352000057697296,0.0608000010251998,0.3485000133514404,0.0815000012516975,-10.614015,-3.934022,12.469796,10.474115
Ireland,0.1836999952793121,0.2676999866962433,0.1573999971151352,0.1650000065565109,0.2261999994516372,0.3009999990463257,0.069700002670288,0.1309999972581863,0.0614000000059604,0.4368999898433685,0.1124000027775764,0.2456000000238418,0.1097000017762184,0.3880000114440918,0.1442999988794326,-12.860228,-6.8572235,13.080964,14.553038
Hungary,0.148499995470047,0.2468000054359436,0.191100001335144,0.1711000055074691,0.2424000054597854,0.1808000057935714,0.0923999994993209,0.2869000136852264,0.1006999984383583,0.3391999900341034,0.0850000008940696,0.1103999987244606,0.0869999974966049,0.6262000203132629,0.091399997472763,-13.78936,-11.323911,12.89723,15.970558
Spain,0.1525000035762787,0.296999990940094,0.1636999994516372,0.1689999997615814,0.2178000062704086,0.5005999803543091,0.0351000018417835,0.1872999966144561,0.0531000010669231,0.2240000069141388,0.0689999982714653,0.1009000018239021,0.0712999999523162,0.680400013923645,0.0784000009298324,-14.856182,-9.835168,13.57213,17.569859
Netherlands,0.1513999998569488,0.4235000014305115,0.127700001001358,0.1059999987483024,0.1914000064134597,0.4408000111579895,0.1084999963641166,0.1404999941587448,0.0798999965190887,0.2302999943494796,0.0917999967932701,0.4101000130176544,0.0907000005245208,0.3122999966144562,0.0952000021934509,-9.861357,-8.668104,12.634917,9.226157
Poland,0.1404000073671341,0.338699996471405,0.1788000017404556,0.1812999993562698,0.1608999967575073,0.1500999927520752,0.0740000009536743,0.5198000073432922,0.0864000022411346,0.1697999984025955,0.0712999999523162,0.1931000053882599,0.066600002348423,0.6074000000953674,0.0615999996662139,-14.05397,-13.152856,13.081377,16.35496
Portugal,0.1437000036239624,0.3725999891757965,0.1424999982118606,0.119499996304512,0.2216999977827072,0.3084000051021576,0.0768000036478042,0.263399988412857,0.0645999982953071,0.2869000136852264,0.0795999988913536,0.5613999962806702,0.0712999999523162,0.2205999940633773,0.0671000033617019,-9.0262575,-7.1325865,13.027337,8.82647
Romania,0.1326999962329864,0.3637000024318695,0.1307999938726425,0.1958999931812286,0.1768999993801117,0.1962999999523162,0.0851000025868415,0.268200010061264,0.0868000015616417,0.3635999858379364,0.121299996972084,0.2610999941825866,0.1136000007390976,0.3684000074863434,0.1357000023126602,-11.855122,-7.2019687,13.2556715,12.261894
Sweden,0.1195999979972839,0.4199999868869781,0.1077999994158744,0.132200002670288,0.2205999940633773,0.1805000007152557,0.0388000011444091,0.0603000000119209,0.0483999997377395,0.671999990940094,0.1282999962568283,0.2896000146865845,0.1307000070810318,0.3019999861717224,0.149399995803833,-11.236971,-4.2505617,12.751027,11.3301735
Slovenia,0.167600005865097,0.2496999949216842,0.1875,0.1886000037193298,0.2065999954938888,0.490200012922287,0.0406999997794628,0.2619999945163727,0.0764999985694885,0.1306000053882599,0.0571999996900558,0.048599999397993,0.0630000010132789,0.7771000266075134,0.0540999993681907,-15.603919,-10.177332,14.031046,17.60642
Slovakia,0.1251000016927719,0.3801999986171722,0.1642999947071075,0.1627999991178512,0.167600005865097,0.2498999983072281,0.0419000014662742,0.5820000171661377,0.0480000004172325,0.0781999975442886,0.1080000028014183,0.1393000036478042,0.1159999966621398,0.5608999729156494,0.0758000016212463,-14.308071,-13.897988,13.378068,16.613924
