country,NO&T Financial aspects,NO&T Research innovations,NO&T Initiatives and programmes,P&M Financial aspects,P&M Research innovations,P&M Initiatives and programmes,CS&RP Financial aspects,CS&RP Research innovations,CS&RP Initiatives and programmes,c1,c2,u1,u2
Austria,0.2038999944925308,0.218199998140335,0.5778999924659729,0.0627000033855438,0.0945999994874,0.8425999879837036,0.6658999919891357,0.1588000059127807,0.1753000020980835,19.981329,10.326933,2.5520604,2.293053
Belgium,0.1931000053882599,0.5787000060081482,0.2282000035047531,0.0441999994218349,0.8758999705314636,0.0798999965190887,0.3343999981880188,0.4054999947547912,0.2601000070571899,9.148994,-15.687689,1.7407374,6.2165875
Bulgaria,0.2463999986648559,0.3849999904632568,0.3684999942779541,0.2309000045061111,0.3919999897480011,0.3770999908447265,0.6435999870300293,0.2025000005960464,0.153899997472763,6.3280697,-1.8605498,1.9707197,7.1863937
Czechia,0.2924000024795532,0.4814999997615814,0.2260999977588653,0.2603999972343445,0.5701000094413757,0.169400006532669,0.8564000129699707,0.0826999992132186,0.0608999989926815,-10.6747,0.82254976,1.6866064,11.048029
Cyprus,0.2258999943733215,0.5436000227928162,0.2303999960422516,0.1316000074148178,0.5303999781608582,0.3379999995231628,0.6909999847412109,0.1710000038146972,0.1379999965429306,-3.0546246,-4.780286,2.7798111,10.1782675
Germany,0.1712999939918518,0.2542999982833862,0.574400007724762,0.0635000020265579,0.1172999963164329,0.8192999958992004,0.6958000063896179,0.13680000603199,0.1673000007867813,21.995773,13.416834,3.2512028,2.1084204
Denmark,0.2506000101566314,0.2840999960899353,0.4654000103473663,0.1915999948978424,0.1149000003933906,0.6935999989509583,0.7092999815940857,0.1356000006198883,0.1551000028848648,17.496607,14.208594,2.1420932,2.8656182
Estonia,0.2133000046014785,0.4043999910354614,0.3822999894618988,0.2296999990940094,0.3614000082015991,0.4088999927043915,0.7488999962806702,0.1049000024795532,0.1462000012397766,2.3633888,-2.2603796,1.9433768,8.417033
Croatia,0.2506000101566314,0.4426999986171722,0.3066999912261963,0.1243999972939491,0.4887999892234802,0.3867999911308288,0.7904999852180481,0.1106000021100044,0.0988999977707862,-4.09931,1.6688578,2.2423556,10.329161
Finland,0.2337000072002411,0.3641000092029571,0.4022000133991241,0.1662999987602234,0.4316999912261963,0.4020000100135803,0.5313000082969666,0.2449000030755996,0.2238000035285949,11.096327,-1.8964325,1.8588251,5.5133624
France,0.1015999987721443,0.5472999811172485,0.3510999977588653,0.0899000018835067,0.7462000250816345,0.1639000028371811,0.2601999938488006,0.3928999900817871,0.3468999862670898,12.631103,-16.488863,1.7076297,4.766431
Malta,0.2425999939441681,0.4332999885082245,0.324099987745285,0.1926999986171722,0.5117999911308289,0.2955000102519989,0.5321000218391418,0.2533999979496002,0.2144999951124191,8.965251,-6.045715,2.0278828,6.3969026
Luxembourg,0.2243999987840652,0.4338000118732452,0.3418000042438507,0.134100005030632,0.4056999981403351,0.4602999985218048,0.4221999943256378,0.2960000038146972,0.2818000018596649,14.847275,-4.0181055,1.6351024,3.6371894
Lithuania,0.1702000051736831,0.5055000185966492,0.3242999911308288,0.2022999972105026,0.4839999973773956,0.3136000037193298,0.6237999796867371,0.2071000039577484,0.1689999997615814,5.686977,2.1030629,2.0785646,7.6241064
Latvia,0.2583000063896179,0.453900009393692,0.2878000140190124,0.1530999988317489,0.5911999940872192,0.2556999921798706,0.26460000872612,0.4785000085830688,0.2569000124931335,14.104025,-12.53618,1.648226,4.1245327
Italy,0.1617999970912933,0.3219000101089477,0.5163999795913696,0.1718000024557113,0.4697999954223633,0.3583999872207641,0.7804999947547913,0.1067999973893165,0.1127000004053115,1.5602849,7.4173484,2.3146398,9.101609
Ireland,0.2309000045061111,0.2788000106811523,0.4902999997138977,0.1289999932050705,0.2362000048160553,0.6348000168800354,0.7671999931335449,0.0984999984502792,0.1342000067234039,15.265364,11.629292,2.1374338,3.5978117
Hungary,0.2772000133991241,0.357699990272522,0.3650999963283539,0.2275000065565109,0.4480000138282776,0.3244999945163727,0.7778000235557556,0.1063999980688095,0.1159000024199485,-2.4301643,5.1990495,2.29285,9.972614
Spain,0.1146000027656555,0.2617999911308288,0.6236000061035156,0.0507999993860721,0.1685999929904937,0.7806000113487244,0.5178999900817871,0.2540000081062317,0.2281000018119812,24.037365,9.7287035,3.2562397,2.5950081
Netherlands,0.1278000026941299,0.1476999968290329,0.7245000004768372,0.1209999993443489,0.0784000009298324,0.800599992275238,0.833299994468689,0.0719000026583671,0.0948999971151351,21.323046,17.341818,2.9157982,2.34256
Poland,0.2090000063180923,0.5098000168800354,0.2811999917030334,0.2736999988555908,0.5593000054359436,0.1670999974012375,0.7767000198364258,0.1379999965429306,0.0852999985218048,-8.810111,-2.4414337,1.9932293,10.824191
Portugal,0.1897999942302703,0.4568000137805938,0.3533999919891357,0.1101000010967254,0.5654000043869019,0.3246000111103058,0.7236999869346619,0.1356000006198883,0.1406999975442886,-1.8573142,-0.9914071,2.704571,9.783767
Romania,0.2440000027418136,0.4553000032901764,0.3007000088691711,0.1773000061511993,0.5410000085830688,0.2815999984741211,0.4138000011444092,0.3747999966144562,0.2114000022411346,12.035771,-9.2218275,1.9879764,5.079378
Sweden,0.2232999950647354,0.384799987077713,0.3917999863624573,0.1037999987602233,0.3260999917984009,0.5701000094413757,0.5116000175476074,0.208199992775917,0.2802000045776367,15.54797,0.34685805,1.6827098,3.2570775
Slovenia,0.1606999933719635,0.4821999967098236,0.3571000099182129,0.1600999981164932,0.4519000053405761,0.3880000114440918,0.6890000104904175,0.178299993276596,0.1325999945402145,1.7382431,1.6733394,2.338696,8.71331
Slovakia,0.4034000039100647,0.387800008058548,0.2088000029325485,0.2759999930858612,0.4523000121116638,0.271699994802475,0.8804000020027161,0.0608999989926815,0.0588000006973743,-9.232781,4.9278803,2.150546,11.06536
